FirstName,LastName,Department,JobTitle,Office
Jan,Kowalski,Management,CEO,Poznan-HQ
Anna,Nowak,Management,CFO,Poznan-HQ
Piotr,Wisniewski,IT,IT Manager,Poznan-HQ
Katarzyna,Wojcik,IT,IT Specialist,Poznan-HQ
Tomasz,Kowalczyk,Accounting,Chief Accountant,Poznan-HQ
Magdalena,Kaminska,HR,HR Manager,Poznan-HQ
Marek,Lewandowski,Sales,Sales Manager,Poznan-HQ
Agnieszka,Zielinska,Sales,Sales Representative,Poznan-HQ
Pawel,Szymanski,Logistics,Logistics Coordinator,Poznan-HQ
Robert,Dabrowski,Warehouse,Warehouse Foreman,Wroclaw-WH
